Season	Age	Tm	Lg	Pos	G	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS		Trp-Dbl
2016-17	20	OKC	NBA	PF	81	66	1632	192	481	0.399	51	159	0.321	141	322	0.438	0.452	44	67	0.657	46	242	288	82	39	32	83	200	479		0
2017-18	21	IND	NBA	C	74	19	1810	340	661	0.514	13	37	0.351	327	624	0.524	0.524	168	224	0.75	165	407	572	151	40	32	137	220	861		0
2018-19	22	IND	NBA	C	74	5	1838	413	700	0.59	9	17	0.529	404	683	0.592	0.596	208	291	0.715	186	504	690	212	48	30	160	239	1043		0
2019-20	23	IND	NBA	PF	62	62	2159	458	848	0.54	17	67	0.254	441	781	0.565	0.55	214	296	0.723	189	582	771	310	47	30	170	195	1147		4
2020-21	24	IND	NBA	PF	62	62	2231	484	904	0.535	52	162	0.321	432	742	0.582	0.564	240	328	0.732	150	592	742	415	76	33	213	203	1260		9
2021-22	25	TOT	NBA	PF	62	61	2136	443	773	0.573	39	125	0.312	404	648	0.623	0.598	246	332	0.741	201	551	752	323	59	27	195	203	1171		5
2021-22	25	IND	NBA	PF	47	46	1632	331	571	0.58	35	108	0.324	296	463	0.639	0.61	191	258	0.74	155	412	567	236	46	22	143	146	888		5
2021-22	25	SAC	NBA	PF	15	15	504	112	202	0.554	4	17	0.235	108	185	0.584	0.564	55	74	0.743	46	139	185	87	13	5	52	57	283		0
2022-23	26	SAC	NBA	C	79	79	2736	577	938	0.615	31	83	0.373	546	855	0.639	0.632	325	438	0.742	251	722	973	573	65	39	230	279	1510		14
2023-24	27	SAC	NBA	C	51	51	1810	407	654	0.622	25	57	0.439	382	597	0.64	0.641	173	250	0.692	160	513	673	417	41	26	169	160	1012		16
Career			NBA		545	405	16352	3314	5959	0.556	237	707	0.335	3077	5252	0.586	0.576	1618	2226	0.727	1348	4113	5461	2483	415	249	1357	1699	8483		48
																															
5 seasons		IND	NBA		319	194	9670	2026	3684	0.55	126	391	0.322	1900	3293	0.577	0.567	1021	1397	0.731	845	2497	3342	1324	257	147	823	1003	5199		18
3 seasons		SAC	NBA		145	145	5050	1096	1794	0.611	60	157	0.382	1036	1637	0.633	0.628	553	762	0.726	457	1374	1831	1077	119	70	451	496	2805		30
1 season		OKC	NBA		81	66	1632	192	481	0.399	51	159	0.321	141	322	0.438	0.452	44	67	0.657	46	242	288	82	39	32	83	200	479		0
